text,label
개못하네,1
내일 화이팅하셔요!,0
내일도 질거같아요,1
오 재밌다(안 봄),1
파이팅! 난 모두 다 gen.g로 투표했어--> 답글: 상품 하나도 못받으시겠…,1
매일하는게 브롤인데 영상찍을 시간은 충분하시겠죠,1
이게 왜 조회수가 50만??,1
저거는 실력이 아니고 꼼수로 깬건데,1
솔직히 이 유튜버보단 다른 유튜버가 더 잘하죠.,1
"나 이 유튜버 마음의 안든다 잘난척 때문의, 잘난척
좀 자제 해주세요 ",1
그저 잼민겜,1
ㅌ,1
컨텐츠 배끼는 거보소.,1
이 유튜버 컨셉 별로네 ,1
님 그냥 운빨이면서 잘난척 ,1
라면이나 먹어라 ㅋㅋㅋㅋ 거지야 에휴,1
형 스트레스 받지 말고 내일 잘해!,0
형도 핵 아님? 개잘핵,0
나보다 잘하는게 도대체 왜나옴? 난 일반인임 상황판단능력 개딸리네 ㅉㅉ 일반인이랑 프로비교 ㅉ,1
"밸런스패치 하는건 좋은데 이렇게까지 
심하게 너프 시키는건 좀 아닌거 같은데",0
"브롤에서 행크의 시대는 끝났다 이제는 버프먹는 찰리의 시대다!!
",0
안돼 에드거 버프는!! 오히려 좋은데?,0
"""좋아요1개와 구독으론 부족한 영상""
",0
선생님의 두뇌 피지컬은 질투날 정도,0
상당히 고인물이 아니라 그냥 쌉고인물 아닙니까,0
근거있는 자신감 ㅋㅋ,0
11분 3초에 오타가 났네요.  조금 피곤하셔서 그랬나 봐요,0
목소리 진짜 변성기 안 온 초딩같네,1
어 느새 부터 챌린지는 안멋져,1
"당신이 부모님에게 의지하는 모습이 부럽습니다. 못생기고 노래도 못 불러도, 여전히 유명해질 수 있어요.",1
서이브님 너무 이뻐요,0
아무리 노력하셔도. 안되는듯...,1
더본 코리아 주식 6만원에서 3만원으로 할인 중입니다 구매하셔서 백종원 농가를 살려주세유,1
그동안 고생 많으셨습니다 이젠 저희를 잊고 편히 쉬세요,1
본이님 항상 응원하던 구독자입니다 이번 대회에서 리젝트에게 패하게 되었지만 다음에 또 열심히 성과를 올려서 우승하는 모습이 보고싶네요. 앞으로도 더 자주 본이님 영상 챙겨보고 진심을 담아 함께 응원하겠습니다. 힘내세요,0
오늘 경기보고 브롤접은사람인데 별로 이제 브롤관심도 없는데 진짜 진심으로 오랜만에 울컥했어요 오늘경기 상처받지 말고 열심히 브롤해주세요 브롤접을때 까지본이님은 저의 브롤 유튜버 우상1위였어요..... 브롤은 하지않아도 본이님은 응원할게요!대황본 화이팅!,0
젠지 우승 기다리기 9일차 이번엔 아쉽지만 그래도 좋았어요! 앞으로도 화이팅!,0
형님 젠지 공고 떴을 때부터 쭉 응원했고 지금까지도 젠지팬이예요. 뭐 성과가 그렇게 좋진 안았지만 시행착오도 있고 그렇죠ㅜㅜ.. 지금도 열심히 노력하고 계시니 그것만으로도 대단하고 응원하고 있어요. 언잰간 계속 노력하시면 꼭 성과가 올거라고 생각해요. 그러니 포기하지 말아주세요. (힘드실거 같은데 많이 쉬시구 맨탈 지키세여),0
아마 여기있는사람 대부분은 젠지가 우승하는걸 보고싶어서 젠지팬이 된게 아니라 “남궁본” 이라는 사람이 우승하는걸 보고싶어서 젠지 팬이 된거라고 생각해요. 저또한 본이님이 우승하는 모습이 정말보고싶어요 본이님만큼 게임잘하면서 시청자들이랑 소통 잘해주는 사람이없는데.. 이번이 진짜 마지막 기회라고 생각하고 내년에는 진짜 보여줄거라고 믿습니다. 지금 마음이 착잡해서 댓글하나하나 다 보고계신거같은데 욕하는 댓글보고 너무 슬퍼하지마세요 사실 다 본이님을 위해서 하는 말이니깐요 힘내십쇼.,0
프로티어 달성도 수고하셨고 예선전도 수고 하셨습니다 다음엔 한국 최초 프로티어 달성 그리고 월별파이널 진출 더 큰 기록을 얻으로 가봅시다,0
본이님 모딩님 들어오고 나서 팀합도 많이 안다져 봤을텐데 그래도 진짜 오늘 경기를 계속 보면서 느낀거지만 진짜 엄청 성장하신거 같애요. 유타핀 상대로 3대0 낸거 보고 '많이 성장했다' 생각했거든요. 지금 이대로 매일 스크림 하면서 팀합 다지면 진짜 젠지가 엄청난 기록 세울거라고 생각합니다. 오늘 월별파이널 진짜 수고 하셨습니다. 다음달 월별에서는 한번 본선가보자고!!~,0
"본이야 나도 이해간다. 너도 처음 팀 봤을때 어느정도 눈치 챘었겠지. 이 팀으로 결과가 어떨지를. 너도 알았겠지. 시로를 내보낼때 시로가 범인이 아니었음을. 근데 젠지가 니 말 안들어줬겠지. 본이야 많이 응원한다. 다음달은 꼭 본선 간다 믿는다. 댓글로 상처 많이 안받았으면 좋겠다.오늘하루 잘 보냈고, 발판으로 생각하자. 좋은하루 보내라.",0
이거 보면서 20초 간격으로 케켁 거리면서 웃어요 ㅋㅋ,0
오늘도 좋은 영상 감사합니다!,0
이상하리만큼 영상 업로드에 충실하다,1
아낌없이 끌려주는 푸바오 대 황 민 규 ㅜㅜㅜ 리젝트 스타플레이어는 사실 민규다!!!,1
38번에 대한 답글: ㅋㅋㅋㅋ 너는 평생동안 일수 세라 ㅋㅋㅋㅋㅋㅋㅋ,1
코치가 신딱이라던데 지금 전2인 제가 코치 할게요,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람 얼굴보고 웃은건 돼리나 이후 처음인데,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아ㅋㅋㅋ 야ㅑ 그냥 이쁘다고 해주라 ㅋㅋㅋㅋㅋ,1
자막 어떤 놈이 달았냐? 받아쓰기부터 다시 해야 할 것 같은데.,1
이분 멘탈 개쎄네 영상 절대안내리네,1
오이지가 사람으로 변하면 이런 모습일듯,1
코로나때 이득좀 봤겠누,1
뭘해도 본판이 중요하단걸 느끼게 해주네여,1
검은 궤도,1
8만원 그냥 기부하자,1
카리나 단발쳤는데 이게 뜨네..ㅋㅋ 근데 혹시 사회실험 하시는건가요? 영상올려서 사람들 반응 지켜보는..,1
저희 체육관 탁구공 2개 사라진거 찾으러 왔습니다,1
누군가는 말해줘야한다.,1
오징어한테 뭘해도 안된다,1
옷차림도 한약방 주인 같네 ㅋㅋㅋㅋ,0
토토로 고양이버스네ㅋㅋ,0
아랫집 난리나것다야,0
"1루 걸어나다 베이스 밟으면, 그때부터 인플레이 상황임...
투수, 당연히 견제 했어야 했다....",0
이게 ㄹㅇ 힙스터다,0
지들도 아파서 먼산 바라보는게 개웃기네 ㅋㅋㅋㅋ,0
그냥 뇌진탕와서 맛간것 같은데 ㅋㅋ,1
"이거 댓글보면 다 ""이제 게이처럼 입는법 말고 진짜 옷 잘 입는법 알려줘요"" 이러고 있음 ㅋㅋㅋ",0
저 부상이 한 달 만에 나을 부상으로 보이냐 ㅋㅋㅋ 힐링팩터라도 있나보네 ㅋㅋㅋ,0
"막 아이폰 100만원 넘는 건 망설임 없이 사면서 봉투값 100원, 대중교통 요금은 아까워 하는 사람들이 은근 많더라",0
이국종 교수님이 조금만 젊었어도 저거 도입하자고 할 듯 ㅋㅋ,0
아니 에피소드 아이디어 봐라 ㅋㅋㅋㅋ,0
쇼츠만 보는데 저 여자분이 제일 후한데 제일 잘버는것 같아ㅋㅋㅋㅋ,0
얜 도대체가 정체가 뭐임? 타고난 미친 재능이네,0
엄청 부지런한 사람인데....?,0
그 마크 주민 소리랑 똑같음,0
마크 배틀로얄에서 이루 불쌍하다 하니까 싹다 초대하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
코마 귀여워 ㅋㅋㅋㅋ,0
우~,0
와 장하다장해,0
야생에서 주민 1000명 납치하기 해주세용♡♡♡,0
2:07 키운다며 ! 키운다며 ! 키운다며 !,0
트롤장인의 맵이었다,0
뇌절이된 시리즈,1
왜 마지막 '엿이나 먹어라~'로 들리지,0
공부자극 미쵸따,0
음잘알ㄷㄷ 개호감이네,0
세상 말세다. 12년생 키가 왜캐커 ,0
와우 홀리몰리,0
썸넬 상당히 깔롱 쌈뽕띠네요,0
이 영상 저한테 안뜨게 해줘요 보기 싫으니(반어법--> 너무 맛있어 보여서 먹고 싶어지니 영상 안보고 싶다는 뜻),0
윤호야.....고생이 많다ㅋㅋ,1
"모방한 외국 유튜버는 요리정말 잘하는데 이분은 인스턴트나 그냥 요리없이 먹는거 전문이시네
",1
